attack_type,,top_features
Guess_password,src_bytes,472
Guess_password,count,466
Guess_password,dst_bytes,460
Guess_password,service_telnet,350
Guess_password,dst_host_srv_count,315
Neptune,src_bytes,1974
Neptune,count,1832
Neptune,flag_S0,1667
Neptune,dst_bytes,1433
Neptune,service_private,926
Nmap,src_bytes,170
Nmap,dst_bytes,158
Nmap,count,123
Nmap,dst_host_rerror_rate,90
Nmap,dst_host_diff_srv_rate,86
Other,src_bytes,6608
Other,count,5147
Other,dst_bytes,3828
Other,dst_host_rerror_rate,3285
Other,dst_host_srv_count,2453
Portsweep,src_bytes,2043
Portsweep,count,2043
Portsweep,service_private,2043
Portsweep,dst_host_rerror_rate,1913
Portsweep,same_srv_rate,1272
Probe,src_bytes,6
Probe,dst_host_rerror_rate,4
Probe,dst_host_same_srv_rate,3
Probe,duration,3
Probe,dst_host_srv_count,3
R2L,hot,2
R2L,src_bytes,2
R2L,dst_host_srv_count,2
R2L,num_file_creations,2
R2L,duration,1
Rootkit,src_bytes,51
Rootkit,logged_in_0,46
Rootkit,dst_bytes,39
Rootkit,hot,37
Rootkit,dst_host_srv_count,25
Satan,src_bytes,144
Satan,hot,86
Satan,logged_in_0,86
Satan,dst_host_rerror_rate,73
Satan,service_http,70
Smurf,protocol_type_icmp,849
Smurf,dst_bytes,829
Smurf,src_bytes,691
Smurf,service_ecr_i,640
Smurf,count,607
normal,src_bytes,9693
normal,dst_bytes,9512
normal,dst_host_srv_count,8426
normal,service_http,6613
normal,dst_host_same_srv_rate,5237
